date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:11:27	42287/42287	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Sep%202022%2015:50:10%20GMT	https://html.design/demo/norrig/index.html	/home/kumartej/websites/agriculture_6/html.design/demo/norrig/index.html	(from )
13:11:28	112/112	---MCZ	200	added ('OK')	text/plain	date:Mon,%2012%20Sep%202022%2005:16:23%20GMT	https://html.design/robots.txt		(from )
13:11:28	673/673	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2006:29:36%20GMT	https://html.design/detroitchicago/boise.js	/home/kumartej/websites/agriculture_6/html.design/detroitchicago/boise.js	(from https://html.design/demo/norrig/index.html)
13:11:29	673/673	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2007:48:07%20GMT	https://html.design/detroitchicago/boise.js?gcb=195-0&cb=2	/home/kumartej/websites/agriculture_6/html.design/detroitchicago/boise420f.js	(from https://html.design/demo/norrig/index.html)
13:11:31	5651/5651	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2006:29:38%20GMT	https://html.design/detroitchicago/memphis.js	/home/kumartej/websites/agriculture_6/html.design/detroitchicago/memphis.js	(from https://html.design/demo/norrig/index.html)
13:11:32	5651/5651	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2003:59:20%20GMT	https://html.design/detroitchicago/memphis.js?gcb=195-0&cb=21	/home/kumartej/websites/agriculture_6/html.design/detroitchicago/memphisf5cf.js	(from https://html.design/demo/norrig/index.html)
13:11:32	619/619	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2003:59:21%20GMT	https://html.design/detroitchicago/minneapolis.js	/home/kumartej/websites/agriculture_6/html.design/detroitchicago/minneapolis.js	(from https://html.design/demo/norrig/index.html)
13:11:33	619/619	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2006:29:41%20GMT	https://html.design/detroitchicago/minneapolis.js?gcb=195-0&cb=4	/home/kumartej/websites/agriculture_6/html.design/detroitchicago/minneapolis453e.js	(from https://html.design/demo/norrig/index.html)
13:11:35	2175/2175	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2007:48:12%20GMT	https://html.design/detroitchicago/rochester.js	/home/kumartej/websites/agriculture_6/html.design/detroitchicago/rochester.js	(from https://html.design/demo/norrig/index.html)
13:11:36	2175/2175	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2003:59:24%20GMT	https://html.design/detroitchicago/rochester.js?gcb=195-0&cb=13	/home/kumartej/websites/agriculture_6/html.design/detroitchicago/rochester9620.js	(from https://html.design/demo/norrig/index.html)
13:11:39	1404/1404	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2003:59:27%20GMT	https://html.design/detroitchicago/raleigh.js	/home/kumartej/websites/agriculture_6/html.design/detroitchicago/raleigh.js	(from https://html.design/demo/norrig/index.html)
13:11:40	1404/1404	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2003:59:28%20GMT	https://html.design/detroitchicago/raleigh.js?gcb=195-0&cb=6	/home/kumartej/websites/agriculture_6/html.design/detroitchicago/raleigh2693.js	(from https://html.design/demo/norrig/index.html)
